Person id,Area,Arch_Lenght,Foot_Lenght,Standard_Deviation
9,3005.53125,302.62344197928905,110.875,125.21310078614742
10,2840.9,298.0490667283535,108.35,126.99302350213623
11,2621.1944444444443,276.6805132031441,102.88888888888889,126.90385834705833
12,2208.8571428571427,255.91126368727004,92.5,127.17005396324743
13,2850.1,299.4851058363914,113.5,126.73955127259183
14,2772.9166666666665,293.0179106659359,109.77777777777777,127.34022934740759
15,2542.0666666666666,285.42040168444316,108.46666666666667,127.14292129162585
16,2889.2,303.3981000602245,112.35,125.83351126787244
17,2994.75,295.696375566721,109.85,126.83879462003976
18,3044.964285714286,278.35890847444534,106.0,122.56572085717384
19,2599.0882352941176,284.78456166912525,106.47058823529412,127.22401886112834
20,2156.909090909091,274.4356530688026,99.0909090909091,127.46672262849059
21,2970.2,316.5277464270592,116.9,126.0918674957176
22,2807.125,289.4717544913292,106.6,126.43412738071252
24,3054.733333333333,305.19163777828214,114.33333333333333,126.7981951945042
25,2802.45,284.78855481147764,107.25,124.75514497686937
26,2614.3,281.95251574516294,101.5,126.79533780316788
27,3054.1315789473683,306.751994798058,113.94736842105263,127.25795136827237
28,2680.8928571428573,290.3252655863762,105.78571428571429,126.6252232331726
29,2874.625,300.42769706249237,112.58333333333333,127.2373072507803
30,2743.025,301.914395070076,110.25,127.28241511423434
31,2662.1071428571427,291.7909634879657,106.21428571428571,126.18824116549398
32,2724.5833333333335,290.125519004133,107.72222222222223,126.60928279827799
33,2839.475,301.2055637657642,109.1,127.41344008647567
34,3269.6666666666665,350.9992437362671,128.22222222222223,126.91758314212206
35,2185.3636363636365,260.74760367653585,94.0,127.040206279454
36,1599.0263157894738,211.6398289642836,74.6842105263158,127.26362553377169
37,2536.575,279.87642273902895,102.65,127.25962172960986
38,3063.1666666666665,303.42317703564964,115.0,126.7415209486676
39,2512.9666666666667,279.8081506252289,98.46666666666667,127.35587688393089
40,2833.8333333333335,295.0640527486801,110.66666666666667,123.72056110007088
41,2759.875,298.36170395612714,112.45,126.55704800727781
42,2986.65,318.9260218024254,116.2,127.40022776394453
43,2480.6944444444443,280.0171173744732,104.61111111111111,126.75184833602526
44,2651.0,289.8204017162323,109.53333333333333,127.37730742741077
45,2803.9333333333334,286.5406711101532,108.06666666666666,126.92418552999365
46,2801.3214285714284,298.31090762785504,106.35714285714286,127.04088351599005
47,2530.2,276.2929558912913,100.26666666666667,127.3461261397821
48,2663.0,292.3164765894413,111.35,126.98366526567337
49,2559.825,288.59013103842733,106.75,127.31187699573812
51,2528.5,308.35617344379426,112.5,126.82929924728705
52,802.55,112.5879284977913,38.9,126.5739323489156
53,726.95,106.91097328662872,36.5,127.06110424541802
54,2414.0,288.2306901216507,108.2,126.84771898728326
55,2653.7,275.6486895163854,106.6,125.11270268957114
56,2284.8,280.9454089999199,104.3,127.32230401073708
57,2649.3333333333335,296.2472030480703,108.46666666666667,127.33585912425511
58,2726.8,299.4566786289215,110.3,127.00945472888995
59,2259.5,267.5287567853928,95.46666666666667,126.94792430208416
60,2950.5,278.28496657477484,103.61111111111111,126.78234619824677
61,2640.527777777778,297.61813526683386,106.72222222222223,127.25180103401583
62,680.35,103.55950142145157,34.3,127.32872130586055
63,3246.181818181818,310.0064910108393,116.54545454545455,126.3457906529248
64,2962.95,319.85983114242555,117.5,127.05813141201747
65,2712.3947368421054,310.4810901692039,108.84210526315789,127.32026373863087
66,2636.4583333333335,302.04495310783386,106.16666666666667,126.64485037687707
67,2802.75,288.4098750829697,106.2,124.97305529650616
68,2368.2916666666665,284.7165259023507,102.58333333333333,127.40587670673497
69,1310.3,174.90235072374344,62.5,127.32280507080966
70,2447.1315789473683,287.9795639326698,106.57894736842105,127.19597663178433
71,2861.1428571428573,284.3940813626562,109.64285714285714,125.3737690720744
72,2783.318181818182,298.0597442713651,113.0,127.24403687490081
73,1968.65,236.32215538024903,82.7,127.23900627189467
74,3027.6,306.60307594935097,114.0,126.56985828312294
75,2771.34375,295.13600505143404,108.5,126.86164892710799
76,2599.5384615384614,273.0552424284128,103.53846153846153,127.2393984764483
77,2302.818181818182,263.1241615035317,96.0909090909091,127.00867021555408
78,2966.5,296.9596225380898,109.6,125.44367873151043
79,1122.0,151.38749281565347,53.2,127.11785435510966
80,2544.0,298.1395214319229,108.9,126.90877512682927
82,3051.766666666667,283.8365777095159,103.6,126.66640699058557
83,2720.6666666666665,287.63021409511566,108.13333333333334,127.2731105501292
84,2453.923076923077,268.7920612188486,99.76923076923077,126.36681747651578
85,2915.25,291.3672344684601,105.7,125.52290647533205
87,2873.1666666666665,314.90094503561653,114.2,127.27587193873615
88,2093.529411764706,255.17804734847124,89.05882352941177,127.38864410143103
89,3097.75,309.8632802605629,114.7,126.9958519278322
90,2986.95,308.11058912873267,112.6,126.97176605139438
94,2842.1666666666665,297.57316235701245,111.26666666666667,127.19028377691758
95,2636.4545454545455,287.9365317062898,109.63636363636364,126.904373041515
96,2305.3,267.77484650611876,101.2,126.45419629914193
97,1558.157894736842,212.14151116421348,76.47368421052632,127.13199716543966
98,1803.925,229.59459047317506,84.85,127.13656668049806
99,2407.65625,285.6234419196844,105.0,126.73530206352869
100,1579.921052631579,221.99740453770286,80.47368421052632,127.3232015726575
101,2513.0789473684213,250.82583161404258,97.47368421052632,124.31963836525027
102,2700.6,302.79170724749565,111.65,127.155699836997
103,774.6538461538462,110.17923661378714,37.76923076923077,127.25793750101381
